,"消費者物價基本分類指數"
"92年1月","82.31","63.56","84.63","91.00","94.18","75.38","97.71","80.46",
"92年2月","81.17","62.03","81.26","90.90","94.08","75.67","97.60","75.53",
"92年3月","80.91","61.16","80.89","90.83","94.92","75.59","97.61","75.32",
"92年4月","81.79","62.09","98.14","90.80","93.71","75.56","97.24","75.97",
"92年5月","81.75","62.79","95.79","90.61","93.36","75.68","96.15","76.35",
"92年6月","81.28","62.06","90.62","91.11","93.12","75.54","95.77","75.75",
"92年7月","80.94","61.86","84.38","91.05","93.29","75.39","96.30","74.72",
"92年8月","81.24","62.79","81.39","90.98","93.91","75.52","96.72","74.62",
"92年9月","81.49","63.23","80.85","91.00","93.86","75.64","97.05","75.45",
"92年10月","82.07","64.22","94.25","90.37","93.46","75.67","97.12","74.39",
"92年11月","81.71","63.13","95.73","90.29","93.32","75.67","96.96","74.48",
"92年12月","81.69","63.36","93.09","90.23","93.33","75.78","96.88","74.87",
"93年","82.84","65.34","91.20","90.57","95.70","77.06","97.04","76.46",
"93年1月","82.32","62.72","87.21","90.61","94.39","75.74","97.46","83.52",
"93年2月","81.69","63.61","83.79","90.25","94.97","76.63","96.73","75.88",
"93年3月","81.63","63.69","82.69","90.25","94.91","76.69","96.48","75.94",
"93年4月","82.57","63.98","100.17","90.28","95.64","76.85","96.79","75.95",
"93年5月","82.49","63.72","97.69","90.25","95.73","77.06","96.85","76.90",
"93年6月","82.69","63.85","94.36","90.87","95.72","77.38","97.09","77.75",
"93年7月","83.63","67.72","88.83","90.85","95.88","77.25","97.41","75.81",
"93年8月","83.31","67.25","85.56","90.89","96.00","77.39","97.34","75.07",
"93年9月","83.76","68.41","84.90","90.93","96.10","77.36","97.21","75.99",
"93年10月","84.03","68.35","97.12","90.50","96.39","77.30","97.10","75.01",
"93年11月","82.95","65.27","97.38","90.55","96.35","77.35","96.85","74.72",
"93年12月","83.01","65.47","94.74","90.62","96.34","77.69","97.13","74.95",
"94年","84.75","70.07","91.08","90.94","96.95","80.54","96.82","76.27",
"94年1月","82.72","65.20","89.34","90.54","96.23","77.59","97.50","75.18",
"94年2月","83.27","65.09","85.43","90.88","96.50","77.84","97.41","81.85",
"94年3月","83.51","68.02","84.67","90.61","96.89","78.43","96.62","75.34",
"94年4月","83.93","67.54","98.30","90.60","96.91","78.88","96.52","75.58",
"94年5月","84.39","68.83","98.76","90.69","96.76","78.90","96.29","76.02",
"94年6月","84.66","69.19","94.97","91.27","96.46","80.01","96.42","77.22",
"94年7月","85.65","72.85","88.59","91.28","96.96","81.17","96.73","75.66",
"94年8月","86.28","74.72","84.83","91.36","98.16","82.53","96.67","75.39",
"94年9月","86.41","74.76","83.83","91.37","98.28","82.54","96.89","76.39",
"94年10月","86.34","74.16","95.23","90.85","97.17","82.82","96.98","75.44",
"94年11月","85.03","70.39","96.24","90.90","96.61","82.78","96.88","75.35",
"94年12月","84.84","70.14","92.77","90.92","96.52","82.98","96.87","75.81",
"95年","85.26","69.63","87.82","91.74","98.65","83.51","96.98","79.14",
"95年1月","84.94","69.01","86.03","91.12","96.68","83.06","97.15","82.65",
"95年2月","84.09","68.20","81.76","91.12","97.35","83.16","97.24","77.46",
"95年3月","83.86","67.46","80.40","91.16","97.37","83.22","96.88","78.56",
"95年4月","84.96","68.64","94.40","91.17","97.77","83.44","96.84","79.48",
"95年5月","85.73","70.21","93.29","91.25","99.07","83.46","96.84","80.95",
"95年6月","86.13","71.55","90.20","91.88","99.08","83.55","97.04","79.41",
"95年7月","86.32","72.09","86.27","92.23","100.10","83.51","97.20","78.81",
"95年8月","85.80","70.96","82.24","92.42","100.34","83.48","97.24","78.25",
"95年9月","85.33","69.93","80.46","92.63","99.71","83.55","96.83","78.51",
"95年10月","85.31","69.36","91.16","91.92","98.74","83.88","96.86","78.65",
"95年11月","85.24","68.84","95.16","91.92","98.36","83.89","96.83","78.39",
"95年12月","85.42","69.25","92.42","92.05","99.26","83.96","96.84","78.54",
"96年","86.79","71.61","90.24","92.64","100.41","87.17","97.57","80.45",
"96年1月","85.24","69.46","87.95","92.08","98.22","83.91","96.82","79.01",
"96年2月","85.56","68.08","83.91","92.13","98.93","84.04","98.80","85.50",
"96年3月","84.56","67.63","80.56","92.09","99.07","84.99","97.14","79.83",
"96年4月","85.54","68.21","95.45","92.10","99.67","86.17","97.19","80.43",
"96年5月","85.71","68.51","95.15","92.19","99.64","88.07","97.17","80.39",
"96年6月","86.24","69.40","92.35","93.13","99.97","87.90","97.49","80.49",
"96年7月","86.04","68.81","88.57","93.20","101.17","88.22","98.03","79.64",
"96年8月","87.18","72.60","85.15","93.27","101.11","88.46","97.88","79.73",
"96年9月","87.99","75.33","83.24","93.33","100.44","88.64","97.49","80.43",
"96年10月","89.86","79.43","96.67","92.66","101.66","88.70","97.67","79.96",
"96年11月","89.33","77.47","97.79","92.70","102.50","88.55","97.55","79.97",
"96年12月","88.26","74.41","96.04","92.78","102.58","88.36","97.66","80.06",
"97年","89.86","77.73","91.14","94.06","102.79","89.24","98.85","81.65",
"97年1月","87.75","73.09","90.24","92.81","102.64","88.60","98.11","80.17",
"97年2月","88.87","74.68","85.30","93.32","103.10","88.66","99.66","84.62",
"97年3月","87.91","73.93","83.57","93.11","102.86","88.97","97.62","81.23",
"97年4月","88.86","74.83","96.42","93.21","103.60","89.12","98.05","81.56",
"97年5月","88.90","74.88","96.99","93.32","103.60","89.17","98.09","81.25",
"97年6月","90.53","77.64","93.69","94.75","106.46","89.14","98.69","82.04",
"97年7月","91.04","78.17","89.45","95.07","108.12","89.25","100.12","81.80",
"97年8月","91.27","80.02","85.34","95.13","106.59","89.49","100.06","81.19",
"97年9月","90.72","79.58","83.56","95.23","103.95","89.57","99.29","81.96",
"97年10月","92.00","83.83","97.25","94.68","100.91","89.53","99.36","81.25",
"97年11月","91.05","82.83","98.12","94.36","96.77","89.67","98.77","81.19",
"97年12月","89.38","79.32","93.77","93.76","94.89","89.66","98.42","81.55",
"98年","89.07","77.39","90.49","93.75","98.68","89.76","97.09","83.59",
"98年1月","89.04","76.96","88.12","93.82","95.93","89.30","99.61","85.19",
"98年2月","87.68","75.24","83.74","93.54","95.78","89.51","97.56","82.13",
"98年3月","87.78","75.75","81.98","93.51","96.08","89.50","97.30","82.24",
"98年4月","88.45","75.95","95.44","93.37","97.35","89.56","97.35","82.26",
"98年5月","88.82","77.14","95.43","93.32","98.05","89.44","96.89","82.23",
"98年6月","88.73","75.87","92.00","94.33","99.29","90.16","96.61","82.82",
"98年7月","88.91","76.11","88.27","94.45","99.27","90.29","97.59","83.40",
"98年8月","90.52","81.12","84.74","94.47","99.94","90.14","97.43","84.19",
"98年9月","89.91","80.59","82.87","93.51","99.77","89.99","96.53","84.74",
"98年10月","90.26","80.02","98.93","93.52","100.11","89.71","96.29","84.43",
"98年11月","89.59","77.45","98.69","93.59","101.42","89.69","96.03","84.53",
"98年12月","89.16","76.53","95.69","93.53","101.21","89.82","95.87","84.93",
"99年","89.93","77.87","92.02","94.18","101.51","90.32","97.04","85.79",
"99年1月","89.27","76.80","91.06","93.65","102.52","89.86","96.06","84.55",
"99年2月","89.74","76.44","86.52","93.97","101.81","89.82","98.36","89.34",
"99年3月","88.89","76.43","84.13","93.76","101.50","90.00","96.13","85.26",
"99年4月","89.64","76.95","96.00","93.82","101.79","90.27","96.48","85.91",
"99年5月","89.49","76.86","95.99","93.84","101.77","90.22","96.43","84.66",
"99年6月","89.80","77.13","93.44","94.84","100.92","90.13","96.40","86.53",
"99年7月","90.08","77.78","90.34","94.83","100.79","89.97","98.11","85.92",
"99年8月","90.09","78.44","86.83","94.75","100.96","90.10","97.71","85.66",
"99年9月","90.18","78.96","85.36","94.86","100.65","90.78","97.32","85.85",
"99年10月","90.78","80.21","97.78","93.86","101.39","90.76","97.38","84.72",
"99年11月","90.95","80.26","99.80","93.90","101.83","90.83","97.13","85.54",
"99年12月","90.26","78.19","96.97","94.10","102.13","91.15","96.99","85.57",
"100年","91.21","79.63","94.66","94.99","102.97","92.14","97.55","86.88",
"100年1月","90.25","78.35","91.82","94.07","103.05","91.18","97.43","84.88",
"100年2月","90.93","78.51","88.33","94.45","103.30","91.32","98.51","90.33",
"100年3月","90.13","77.86","86.13","94.30","104.14","91.64","96.92","86.19",
"100年4月","90.80","78.38","97.94","94.43","104.20","92.10","97.00","86.50",
"100年5月","90.98","79.01","98.86","94.54","103.87","92.17","96.70","86.36",
"100年6月","91.54","79.70","96.19","95.67","103.60","92.38","97.26","87.37",
"100年7月","91.27","79.07","92.97","95.76","102.47","92.35","98.75","86.62",
"100年8月","91.30","79.68","88.71","95.85","102.34","92.47","98.39","86.80",
"100年9月","91.42","80.44","86.57","95.91","102.39","92.57","97.65","87.31",
"100年10月","91.91","81.03","104.91","94.94","102.18","92.46","97.63","86.50",
"100年11月","91.89","81.15","103.30","95.00","102.20","92.57","97.20","86.93",
"100年12月","92.09","82.40","100.22","94.98","101.85","92.47","97.14","86.71",
"101年","92.97","82.94","97.04","96.09","103.42","92.82","98.21","88.75",
"101年1月","92.38","81.90","93.61","95.24","102.06","92.50","98.04","92.03",
"101年2月","91.15","80.17","89.79","95.14","102.13","92.29","97.11","87.66",
"101年3月","91.27","80.27","87.88","95.33","102.33","92.44","97.54","87.64",
"101年4月","92.11","80.03","103.52","95.31","104.33","92.70","97.90","88.56",
"101年5月","92.57","81.98","101.39","95.32","103.37","92.61","98.18","88.29",
"101年6月","93.16","83.22","98.18","96.70","102.22","92.88","98.46","88.93",
"101年7月","93.52","84.05","94.21","96.87","102.58","92.82","99.61","88.51",
"101年8月","94.43","86.61","91.17","97.07","104.29","92.81","99.30","88.38",
"101年9月","94.12","85.70","89.84","97.30","104.75","92.83","98.43","88.98",
"101年10月","94.05","84.46","107.84","96.27","104.74","93.10","98.54","88.17",
"101年11月","93.35","83.00","105.05","96.24","104.12","93.25","97.75","88.72",
"101年12月","93.58","83.93","101.99","96.26","104.15","93.63","97.64","89.09",
"102年","93.71","83.99","96.86","96.96","103.88","93.78","98.53","89.20",
"102年1月","93.41","83.84","96.94","96.23","104.42","93.24","97.98","88.84",
"102年2月","93.85","82.51","93.12","96.39","105.71","93.42","100.80","92.62",
"102年3月","92.50","81.26","91.63","96.48","104.52","93.74","97.59","88.81",
"102年4月","93.08","81.89","101.47","96.48","103.95","93.66","98.16","89.10",
"102年5月","93.25","83.20","100.03","96.48","103.52","93.78","97.77","88.62",
"102年6月","93.72","83.60","97.88","97.54","103.52","93.96","98.26","89.38",
"102年7月","93.58","82.98","94.90","97.59","103.23","93.97","99.70","88.74",
"102年8月","93.69","83.66","91.21","97.66","103.66","94.00","99.38","88.99",
"102年9月","94.92","87.73","89.92","97.80","104.12","93.98","99.17","89.33",
"102年10月","94.66","86.93","103.89","96.85","103.47","93.69","98.53","88.28",
"102年11月","93.98","85.24","102.09","96.99","103.10","93.90","97.70","88.52",
"102年12月","93.89","85.06","99.25","97.07","103.39","94.06","97.37","89.19",
"103年","94.83","87.14","98.10","97.82","102.64","94.39","98.46","90.38",
"103年1月","94.18","84.67","95.81","96.98","103.47","93.92","98.66","93.44",
"103年2月","93.81","84.64","92.52","97.07","103.48","94.18","98.76","89.85",
"103年3月","93.99","85.86","90.67","97.18","103.61","94.38","97.51","90.16",
"103年4月","94.62","86.11","103.02","97.21","103.35","94.49","98.26","90.41",
"103年5月","94.76","86.79","101.92","97.21","103.39","94.33","98.28","90.22",
"103年6月","95.25","86.78","100.04","98.67","103.72","94.60","98.79","90.75",
"103年7月","95.22","86.53","97.31","98.75","103.89","94.58","99.76","90.10",
"103年8月","95.64","88.35","93.69","99.09","103.60","94.49","99.62","89.97",
"103年9月","95.59","88.97","92.80","99.12","102.72","94.65","98.73","90.56",
"103年10月","95.66","89.83","105.84","97.68","101.69","94.30","98.46","89.53",
"103年11月","94.78","88.35","103.11","97.57","100.45","94.44","97.38","89.75",
"103年12月","94.46","88.74","100.46","97.34","98.30","94.34","97.36","89.86",
"104年","94.54","89.86","97.55","96.71","96.65","94.67","98.44","90.63",
"104年1月","93.30","88.45","96.92","94.87","96.10","94.45","97.16","89.99",
"104年2月","93.62","87.26","93.09","95.02","96.74","94.38","99.52","94.09",
"104年3月","93.41","87.09","91.38","96.76","97.00","94.62","97.52","90.41",
"104年4月","93.84","87.39","102.44","96.16","97.18","94.44","98.10","90.41",
"104年5月","94.07","87.56","100.76","96.50","98.32","94.36","98.07","90.44",
"104年6月","94.72","88.41","98.48","97.88","98.07","94.57","98.77","90.82",
"104年7月","94.62","88.06","95.68","98.03","97.67","94.71","99.86","90.14",
"104年8月","95.21","91.06","93.09","98.00","96.58","94.70","99.67","90.23",
"104年9月","95.87","94.21","92.21","97.95","95.86","94.98","98.67","90.57",
"104年10月","95.95","94.42","104.61","96.38","96.38","94.89","98.66","89.53",
"104年11月","95.29","92.99","102.35","96.49","95.51","94.84","97.74","90.33",
"104年12月","94.58","91.40","99.60","96.51","94.42","95.06","97.53","90.65",
"105年","95.86","94.56","97.75","96.48","95.57","95.49","98.53","91.89",
"105年1月","94.05","90.86","95.37","96.37","93.26","95.00","97.55","90.20",
"105年2月","95.88","94.65","92.33","96.37","93.55","95.02","100.12","95.18",
"105年3月","95.29","94.61","91.41","96.40","94.47","95.26","97.65","91.36",
"105年4月","95.60","94.35","102.61","95.70","94.86","95.64","98.27","91.41",
"105年5月","95.23","92.66","100.79","95.71","96.12","95.44","98.20","91.91",
"105年6月","95.57","92.44","98.43","97.15","96.64","95.49","98.24","92.30",
"105年7月","95.79","92.92","96.02","97.21","96.42","95.42","99.66","91.74",
"105年8月","95.75","93.44","94.12","97.21","95.96","95.65","99.35","91.62",
"105年9月","96.19","95.03","93.44","97.28","96.07","95.56","98.78","92.31",
"105年10月","97.58","99.36","105.49","96.08","96.68","95.68","98.84","91.36",
"105年11月","97.17","98.95","102.73","96.13","95.98","95.86","97.89","91.59",
"105年12月","96.18","95.47","100.21","96.13","96.87","95.89","97.79","91.72",
"106年","96.45","94.21","97.51","97.31","97.31","97.12","98.82","93.64",
"106年1月","96.16","93.56","95.52","96.38","97.65","95.93","99.32","95.43",
"106年2月","95.82","93.93","92.57","96.43","97.48","96.28","98.64","92.26",
"106年3月","95.46","92.98","91.77","96.59","97.17","96.63","98.10","92.52",
"106年4月","95.69","92.08","101.78","96.62","97.10","97.04","98.51","93.20",
"106年5月","95.80","92.62","100.54","96.65","96.69","97.35","98.48","93.56",
"106年6月","96.53","94.47","98.77","98.07","96.23","97.40","98.76","92.33",
"106年7月","96.53","94.06","95.98","98.08","96.52","97.40","99.97","92.26",
"106年8月","96.67","94.69","92.92","98.27","96.94","97.46","99.71","92.25",
"106年9月","96.66","94.83","92.26","98.46","97.16","97.56","98.64","93.07",
"106年10月","97.26","95.51","104.95","97.32","97.79","97.43","98.96","94.35",
"106年11月","97.50","96.30","102.61","97.41","98.43","97.45","98.22","95.56",
"106年12月","97.35","95.53","100.47","97.40","98.51","97.56","98.48","96.87",
"107年","97.76","95.15","97.79","98.20","99.51","98.15","99.04","98.08",
"107年1月","97.02","94.33","97.31","97.38","99.26","97.63","97.88","97.34",
"107年2月","97.93","94.84","94.25","97.46","99.68","97.90","100.44","100.50",
"107年3月","96.98","94.20","93.39","97.52","98.99","97.89","98.42","97.99",
"107年4月","97.61","94.57","101.83","97.59","99.32","98.08","98.74","98.28",
"107年5月","97.48","94.27","100.02","97.76","99.19","97.63","98.67","98.45",
"107年6月","97.88","94.35","98.41","98.98","99.56","98.14","99.26","98.61",
"107年7月","98.22","94.91","96.24","99.00","100.73","98.50","100.46","98.14",
"107年8月","98.16","95.41","94.25","99.08","100.66","98.56","100.27","97.60",
"107年9月","98.32","97.18","93.97","99.21","99.95","98.47","98.94","97.79",
"107年10月","98.39","96.93","103.05","98.17","100.22","98.38","99.06","97.10",
"107年11月","97.78","95.85","101.48","98.14","99.07","98.32","98.10","97.39",
"107年12月","97.29","94.93","99.28","98.10","97.50","98.24","98.29","97.78",
"108年","98.30","96.96","97.08","98.81","98.07","98.98","99.78","98.65",
"108年1月","97.19","95.09","95.73","98.02","97.69","98.51","98.24","97.83",
"108年2月","98.14","95.65","92.97","98.29","98.26","98.61","100.52","100.91",
"108年3月","97.52","95.57","92.79","98.40","98.25","98.92","98.65","98.52",
"108年4月","98.25","95.85","99.90","98.50","99.09","98.72","99.93","98.61",
"108年5月","98.39","96.70","98.98","98.63","99.07","98.54","99.67","98.54",
"108年6月","98.71","97.50","97.02","99.62","98.37","98.85","100.16","98.67",
"108年7月","98.60","96.50","95.07","99.55","99.37","99.06","101.13","98.25",
"108年8月","98.58","97.65","93.49","99.54","98.20","99.35","100.62","98.37",
"108年9月","98.73","99.08","93.10","99.57","97.23","99.36","99.82","98.90",
"108年10月","98.75","98.52","104.15","98.50","97.03","99.15","99.97","98.24",
"108年11月","98.35","97.64","101.73","98.49","96.95","99.39","99.29","98.37",
"108年12月","98.41","97.76","99.99","98.56","97.27","99.25","99.38","98.61",
"109年","98.07","97.61","98.26","99.09","94.27","99.77","98.81","99.61",
"109年1月","99.00","97.54","96.87","98.76","98.11","99.46","101.19","101.09",
"109年2月","97.94","97.35","94.81","98.76","96.02","99.35","99.02","99.11",
"109年3月","97.50","97.12","93.76","98.82","94.02","99.65","98.28","99.28",
"109年4月","97.30","97.07","101.59","98.63","90.63","99.64","98.13","99.20",
"109年5月","97.20","97.00","99.74","98.63","90.62","99.59","97.92","99.39",
"109年6月","97.98","97.46","98.50","99.74","92.81","100.09","98.60","99.71",
"109年7月","98.10","97.26","96.66","99.69","94.30","99.94","99.06","99.75",
"109年8月","98.25","97.82","95.14","99.76","94.52","100.09","99.21","99.86",
"109年9月","98.16","98.36","94.47","99.76","93.99","100.01","98.40","99.80",
"109年10月","98.49","98.24","104.17","98.78","94.71","99.75","98.91","99.43",
"109年11月","98.44","98.03","102.23","98.83","95.50","99.88","98.54","99.44",
"109年12月","98.45","98.07","101.19","98.94","96.04","99.80","98.44","99.30",
"110年","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",
"110年1月","98.81","98.72","98.83","99.04","97.57","99.93","98.48","99.68",
"110年2月","99.29","97.74","96.15","99.38","98.29","99.83","100.92","101.93",
"110年3月","98.69","97.62","95.61","99.52","98.55","100.08","98.97","99.73",
"110年4月","99.35","97.68","102.98","99.52","99.19","100.04","99.87","100.05",
"110年5月","99.58","98.62","102.36","99.57","99.28","99.75","99.59","100.38",
"110年6月","99.77","99.58","100.84","99.64","99.97","99.55","99.57","99.92",
"110年7月","99.97","99.64","98.64","100.21","100.83","99.77","99.87","99.90",
"110年8月","100.55","101.57","97.08","100.99","100.64","100.25","100.30","99.75",
"110年9月","100.71","101.84","95.99","101.04","100.76","100.22","101.20","99.70",
"110年10月","101.00","102.14","105.09","100.21","101.55","99.90","100.61","99.17",
"110年11月","101.24","102.63","103.72","100.41","102.42","100.16","100.13","99.64",
"110年12月","101.04","102.23","102.73","100.46","100.95","100.51","100.48","100.15",
"111年","102.95","105.66","102.38","102.26","103.46","101.22","101.18","101.37",
"111年1月","101.61","102.39","100.13","100.74","102.68","100.32","100.52","102.41",
"111年2月","101.60","102.90","98.75","100.76","103.16","100.48","101.50","100.83",
"111年3月","101.92","103.37","98.31","101.07","104.39","100.91","100.52","101.36",
"111年4月","102.70","104.43","105.89","101.30","104.16","100.92","101.04","101.54",
"111年5月","102.96","105.92","105.02","101.57","103.84","100.97","100.60","101.32",
"111年6月","103.35","106.85","103.14","102.98","103.52","101.17","100.62","101.17",
"111年7月","103.32","106.80","101.65","103.25","103.80","101.40","100.75","100.72",
"111年8月","103.24","106.50","100.12","103.48","103.56","101.47","100.60","101.12",
"111年9月","103.49","107.23","99.42","103.63","103.01","101.58","101.24","101.54",
"111年10月","103.77","107.42","107.05","102.64","103.12","101.84","101.86","101.35",
"111年11月","103.62","106.84","105.54","102.76","103.11","101.61","102.18","101.42",
"111年12月","103.78","107.27","103.55","102.88","103.14","101.93","102.78","101.69",
"112年","105.51","109.92","103.23","104.35","104.26","103.44","104.33","103.84",
"112年1月","104.71","107.81","101.11","103.23","103.87","101.98","105.02","105.05",
"112年2月","104.06","107.34","99.96","103.22","103.73","102.38","103.60","102.88",
"112年3月","104.32","108.41","99.53","103.38","103.56","102.46","103.32","103.03",
"112年4月","105.11","108.82","105.16","103.66","104.14","102.77","104.36","103.72",
"112年5月","105.04","109.07","104.29","103.74","103.73","102.93","103.63","104.05",
"112年6月","105.16","108.33","103.08","105.03","103.86","102.93","104.12","103.95",
"112年7月","105.26","108.17","102.78","105.18","104.34","103.88","104.43","103.69",
"112年8月","105.85","110.17","101.16","105.32","105.37","103.83","104.32","103.67",
"112年9月","106.52","112.36","100.55","105.51","105.36","104.29","104.19","104.30",
"112年10月","106.92","113.34","108.80","104.54","104.80","104.44","104.99","103.66",
"112年11月","106.62","112.87","106.56","104.66","104.28","104.66","104.70","103.78",
"112年12月","106.58","112.33","105.79","104.75","104.08","104.73","105.23","104.32",
"113年1月","106.59","112.24","103.59","105.03","104.43","105.13","104.96","104.75",
"113年2月","107.26","112.16","101.77","105.29","104.89","105.66","107.47","107.18",
"113年3月","106.56","111.51","101.11","105.38","104.90","105.73","105.28","105.40",
"113年4月","107.15","111.63","104.88","105.82","104.86","106.39","106.00","106.33",
"113年5月","107.38","112.78","104.06","106.14","104.67","106.48","105.25","106.58",
"113年6月","107.71","112.83","103.50","107.42","104.81","106.82","105.85","106.11",
"113年7月","107.92","113.13","102.82","107.61","105.26","107.28","106.38","105.87",
"113年8月","108.35","115.28","100.88","107.71","105.37","107.13","106.19","105.69",

註解：
 由於受查者延誤或更正報價，最近3個月資料均可能修正。
 
  
